City_Id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
85,Pontes e Lacerda,26,BR,1567230131,53,-15.23,-59.33,76.55,0.92
86,Santa Isabel do Rio Negro,32,BR,1567230008,94,-0.41,-65.02,71.33,1.43
87,Santa Maria,0,BR,1567230121,68,-16.02,-48.01,64.4,1.9
88,Sao Joao da Barra,0,BR,1567230109,93,-21.64,-41.05,64.49,2.48
89,Sao Luis do Quitunde,40,BR,1567230061,94,-9.32,-35.56,69.8,2.24
90,Sao Miguel do Araguaia,37,BR,1567229815,33,-13.28,-50.16,74.03,4.34
91,Touros,40,BR,1567229980,88,-5.2,-35.46,71.6,3.36
92,Trairi,67,BR,1567230135,89,-3.28,-39.27,72.23,8.68
93,Ubatuba,0,BR,1567229943,74,-23.43,-45.08,61.61,5.21
94,Vila Velha,75,BR,1567230100,78,-3.71,-38.6,78.8,16.11
95,Andros Town,40,BS,1567230039,78,24.73,-77.79,82.4,5.82
96,Freeport,13,BS,1567230062,76,26.54,-78.7,84.47,16.78
97,Kang,0,BW,1567230139,24,-23.67,22.79,48.83,14.9
98,Laguna,40,BZ,1567230116,94,16.17,-88.94,77,2.17
99,Bonavista,75,CA,1567230107,76,48.65,-53.11,61,1.01
100,Chapais,90,CA,1567230090,93,49.78,-74.86,51.8,8.05
101,Clyde River,90,CA,1567230081,93,70.47,-68.59,41,17.22
102,Geraldton,5,CA,1567229991,93,49.72,-86.95,44.6,2.24
103,Gimli,39,CA,1567230056,69,50.63,-96.99,55.99,4.85
104,Hamilton,40,CA,1567229995,87,43.26,-79.87,62.01,3.36
105,Hanna,83,CA,1567229831,78,51.64,-111.93,52,1.99
106,Havre-Saint-Pierre,90,CA,1567230001,93,50.23,-63.6,59,9.17
107,High Level,58,CA,1567230016,78,58.52,-117.13,51.53,3.71
108,Hinton,98,CA,1567230011,96,53.4,-117.57,44.51,2.06
109,Iqaluit,90,CA,1567230041,100,63.75,-68.52,41,11.41
110,Iroquois Falls,90,CA,1567230080,100,48.76,-80.69,50,3.36
111,La Ronge,20,CA,1567229983,76,55.1,-105.3,53.6,4.7
112,Marystown,98,CA,1567229988,98,47.17,-55.16,63.41,5.86
113,Mayo,20,CA,1567229910,50,63.59,-135.9,51.8,3.56
114,Norman Wells,90,CA,1567229513,100,65.28,-126.83,42.8,0.51
115,Pangnirtung,100,CA,1567229985,84,66.15,-65.72,41.99,4.72
116,Port Hardy,75,CA,1567229966,93,50.7,-127.42,57.2,6.22
117,Prince Rupert,20,CA,1567230003,93,54.32,-130.32,55.4,3.36
118,Saint-Philippe,75,CA,1567229963,59,45.36,-73.48,66.2,8.05
119,Shelburne,1,CA,1567230063,76,44.08,-80.2,62.01,5.82
120,Sioux Lookout,5,CA,1567230046,100,50.1,-91.92,51.8,2.24
121,Steinbach,75,CA,1567230045,62,49.53,-96.69,57.2,5.82
122,Thompson,75,CA,1567230049,93,55.74,-97.86,41,0.6
123,Tobermory,0,CA,1567229998,91,45.25,-81.67,46,12.68
124,Torbay,90,CA,1567230042,100,47.66,-52.73,66.99,13.87
125,Tuktoyaktuk,75,CA,1567229517,93,69.44,-133.03,35.6,3.36
126,Yellowknife,20,CA,1567229977,70,62.45,-114.38,42.8,5.82
127,Kikwit,60,CD,1567230117,71,-5.04,18.82,75.83,5.68
128,Kindu,77,CD,1567229997,87,-2.95,25.92,73.85,3.96
129,Lodja,94,CD,1567230055,89,-3.52,23.6,72.41,3.44
130,Lusambo,93,CD,1567230076,83,-4.97,23.44,73.67,4.07
131,Mwene-Ditu,94,CD,1567230047,68,-7.01,23.45,73.85,5.97
132,Watsa,98,CD,1567229995,96,3.04,29.53,68.81,2.37
133,Birao,95,CF,1567230053,91,10.3,22.78,73.85,3.02
134,Gamboula,96,CF,1567229993,98,4.12,15.14,67.73,3.8
135,San-Pedro,94,CI,1567229982,98,4.75,-6.64,70.43,2.3
136,Tabou,79,CI,1567230008,95,4.42,-7.36,73.13,2.48
137,Avarua,82,CK,1567230091,56,-21.21,-159.78,69.8,4.7
138,Ancud,20,CL,1567230019,100,-41.87,-73.83,39.2,2.24
139,Castro,20,CL,1567229969,100,-42.48,-73.76,39.2,2.24
140,Coihaique,75,CL,1567230103,80,-45.58,-72.07,39.2,3.36
141,Coquimbo,0,CL,1567230005,93,-29.95,-71.34,51.8,5.82
142,Punta Arenas,75,CL,1567229509,93,-53.16,-70.91,35.6,20.8
143,Elat,83,CM,1567230116,97,2.91,11.16,68.45,1.92
144,Bayan,46,CN,1567229993,43,36.1,102.26,65.57,1.39
145,Chenzhou,71,CN,1567230133,38,25.81,113.03,89.15,6.2
146,Chuzhou,100,CN,1567230060,72,32.25,118.33,78.35,9.84
147,Dandong,0,CN,1567230120,51,40.12,124.37,79.43,6.89
148,Dingtao,65,CN,1567230096,36,35.07,115.56,84.29,4.32
149,Dongsheng,100,CN,1567230042,61,29.72,112.52,74.21,10.65
150,Guilin,40,CN,1567230136,45,25.28,110.29,86,11.18
151,Hami,80,CN,1567229996,7,42.84,93.51,98.15,8.23
